Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification
11046,5b6f6cfb-fe60-37b0-9514-b642f398b0b2,1.0248461538461535,0.4423076923076923,52.0,3198,default,1.0,1.0,23.0,E,outlier
30044,ab1b6939-a3ff-315f-983f-65367be708cf,1.4670365853658536,0.3414634146341463,10.25,3609,default,6.0,4.0,14.0,F,normal
10577,7257b5ec-3c15-3f30-96da-78764324c4e6,2.520095238095238,0.5238095238095238,21.0,3176,default,1.0,1.0,11.0,E,outlier
33308,a34ec48b-41d8-3718-aaf6-10479f98791b,0.3523805309734513,0.2300884955752212,56.5,2390,default,8.0,2.0,26.0,F,normal
22596,0013dc56-fe2f-332f-8450-3b712c737c3b,4.91454716981132,0.1320754716981132,10.6,15629,default,5.0,5.0,7.0,F,normal
23388,aa16bd1e-fb06-3c2e-8695-2a5be8c1998e,56.035625,0.5,2.0,13449,default,2.0,2.0,2.0,F,normal
23883,ef3cb2ee-a9c3-3ebf-8206-81ba1fa85889,5.305028,0.032,62.5,39788,default,2.0,2.0,4.0,F,normal
28467,1a50249e-6810-351e-9c90-8b8449f5ab3d,2.314448717948718,0.1538461538461538,13.0,10832,default,8.0,6.0,12.0,F,normal
20855,6b4b42f2-2da7-399a-91f0-263c1b9009ab,2.8048026315789474,0.2894736842105263,7.6,6395,default,6.0,5.0,11.0,F,normal
26171,396b97e0-925c-3383-8f64-398e75e58879,0.0052469135802469,0.2716049382716049,27.0,26,default,4.0,3.0,22.0,F,normal
18386,8a2ed224-88f1-3a64-bef5-571b615dfc41,0.4215878434637802,0.0432972522897585,85.78571428571429,30380,default,15.0,14.0,52.0,F,normal
30791,87c99ba0-004d-3479-8d38-67e73008f6ec,2.8187741935483874,0.2096774193548387,15.5,10486,default,5.0,4.0,13.0,F,normal
24098,9d05f81d-7a31-3095-be56-12c1b2ccccd7,28.06690476190476,0.238095238095238,21.0,35365,default,1.0,1.0,5.0,F,outlier
24533,c9bea61a-93de-3dba-a8a4-0673913efece,1.6032083333333331,0.4166666666666667,6.0,1155,default,2.0,2.0,5.0,F,normal
23150,341120eb-517c-3730-98fb-dd8d0080aea4,0.0159451263537906,0.0086642599277978,39.57142857142857,1326,default,35.0,35.0,12.0,F,normal
26412,daab3ecd-a9c6-3b19-a97d-d9f00f9630a7,4.628203125,0.21875,5.333333333333333,8887,default,6.0,6.0,7.0,F,normal
19502,0128c8c1-3537-3b17-af70-a61bc73a00de,1.1035714285714286,0.7142857142857143,3.5,464,default,3.0,2.0,5.0,F,normal
708,2a55c4c4-fa91-3940-adc1-1dd159f94bc9,0.0001970509383378,0.064343163538874,746.0,9,default,70.0,1.0,48.0,E,outlier
6918,3993550f-1292-3de2-8d2b-94492555590a,0.0661111111111111,0.7777777777777778,9.0,36,default,1.0,1.0,7.0,E,outlier
18953,3cadedce-1d3f-3a73-9d5d-4b16642a7479,0.6790178571428571,0.1785714285714285,3.5,1141,default,8.0,8.0,5.0,F,normal
25714,f5ed0097-4e9e-37c3-a3a1-df6235b21609,7.2827210526315795,0.0842105263157894,17.272727272727273,83024,default,13.0,11.0,16.0,F,normal
