Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification
11858,3358bd02-8aa8-3966-8eba-dcc034c7402d,58.1315,1.0,2.0,6976,default,1.0,1.0,2.0,E,outlier
2840,c6319dfa-bf61-35fd-8bbd-f53de5fa49a0,5.127483516483517,0.4065934065934066,91.0,27997,default,1.0,1.0,37.0,E,outlier
19640,e1dba240-afbb-3b9e-9c15-8fae5115c3eb,2.963862068965517,0.0413793103448275,145.0,25786,default,1.0,1.0,6.0,F,outlier
2352,2f2a9d51-fbd6-356e-bdbb-8b05db2464ea,88.8005,0.75,4.0,21313,default,1.0,1.0,3.0,E,outlier
16771,4e66296c-9842-3f98-af0c-6d8f0ea66912,683.16075,1.0,4.0,163959,default,1.0,1.0,4.0,E,outlier
31424,9e4d95d6-3b5f-3e02-97be-bd1564ba2487,215.12775,0.75,4.0,51631,default,1.0,1.0,3.0,F,outlier
5258,5abbb8d4-1183-3527-838b-0e9eb71bce0d,0.633,1.0,5.0,190,default,1.0,1.0,5.0,E,outlier
3990,b04f7284-d154-3921-b82c-20974ff595bd,2.5201170212765955,0.1276595744680851,47.0,7107,default,2.0,1.0,6.0,E,outlier
10114,2a6e4475-04a5-346e-a782-275255f25a69,4.170833333333333,0.5,6.0,1502,default,1.0,1.0,3.0,E,outlier
4225,e12751da-40ea-3abd-92d0-018b3bf46aa9,0.299,0.8181818181818182,11.0,198,default,1.0,1.0,9.0,E,outlier
23040,00a9ff00-88ce-3aba-b789-16b552edb9eb,2.000875,1.0,8.0,961,default,1.0,1.0,8.0,F,outlier
32116,2bbef45d-b848-3972-93fa-fc42a49acc86,9.42158783783784,0.0337837837837837,148.0,83664,default,1.0,1.0,5.0,F,outlier
17523,089fab8a-ea53-3bc9-90f2-04f3f6b77d3a,0.3685830670926517,0.0894568690095846,313.0,6922,default,1.0,1.0,28.0,E,outlier
11496,3c9845f8-a224-31d9-98ac-08273f112258,1.4705155279503106,0.0869565217391304,161.0,14206,default,1.0,1.0,14.0,E,outlier
2430,f749334f-bb3b-3f30-bc53-61d668a75389,0.2823333333333333,1.0,3.0,51,default,1.0,1.0,3.0,E,outlier
28853,abcccbff-a58c-3fbe-a5c8-fd56686eebf5,3.836,1.0,4.0,921,default,1.0,1.0,4.0,F,outlier
24816,34ba77cd-9d85-3edc-958a-ee186aa34047,27.89133333333333,1.0,6.0,10041,default,1.0,1.0,6.0,F,outlier
5082,96ed1d7b-d039-3512-b1b3-267c115d0c2b,2.959255,0.265,200.0,35512,private_ip,1.0,1.0,53.0,E,outlier
