Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification
30572,292099c2-a0ef-3538-a2be-f319f1881ec6,0.0572321428571428,0.25,9.333333333333334,193,default,8.0,6.0,14.0,F,normal
23955,de2d5ade-7030-3d06-91a8-b428e6051683,0.4086348228043143,0.0462249614791987,108.16666666666669,15913,default,29.0,6.0,30.0,F,normal
12426,6ee0c8d7-5208-30bf-b0f0-59cb216013e9,0.0015748792270531,0.0193236714975845,6.21,59,default,114.0,100.0,12.0,E,normal
31015,13521ebf-21ba-3b13-8ae2-196a0e839dc7,0.3098356164383561,0.2328767123287671,10.428571428571429,1358,default,8.0,7.0,17.0,F,normal
32581,e7f09094-0ad5-397e-83ea-76d97249ae7a,0.341,0.2234042553191489,47.0,1924,default,4.0,2.0,21.0,F,normal
26627,5e5aa6c3-63a8-3f4e-b0e1-10e292a01484,15.6963,0.7,10.0,9418,default,1.0,1.0,7.0,F,outlier
31511,ebab157f-3d62-396a-89a7-bd49cbd7378a,1.708344827586207,0.2068965517241379,3.625,2973,default,9.0,8.0,6.0,F,normal
32741,ce6a9735-5d80-36ec-a220-bc38751a9ee7,0.4737297297297297,0.1621621621621621,3.7,1052,default,11.0,10.0,6.0,F,normal
27810,5dd73152-a6b1-3edb-8084-4473fbf135dd,0.04774,0.4,5.0,72,default,8.0,5.0,10.0,F,normal
7991,61baddb1-c277-3113-a0e0-5d8ca9e9f63b,114.3675,0.5,4.0,27449,default,1.0,1.0,2.0,E,outlier
2531,48ecb3eb-ee5a-342f-9342-3b20fea8ed75,0.9887142857142855,0.8571428571428571,7.0,416,default,1.0,1.0,6.0,E,outlier
22285,0336fc0b-3af4-3332-9837-e00c60f7f2ae,1.3087122641509434,0.1792452830188679,53.0,8324,default,4.0,2.0,19.0,F,normal
25934,a37303c5-9a72-32a0-9c7e-184e4519749c,2.100625,0.375,2.0,1009,default,4.0,4.0,3.0,F,normal
26053,d8ce2154-ea14-3106-9785-64e0f3337f5b,2.898625,0.2727272727272727,4.888888888888889,7653,default,10.0,9.0,12.0,F,normal
27737,54008497-f3b6-3845-9ba4-e0b3a3f691fa,1.6218880597014924,0.1716417910447761,67.0,13040,default,4.0,2.0,23.0,F,normal
30551,ee57dc45-cc7e-36ac-87c1-1edefec4e456,4.373454545454545,0.1818181818181818,5.5,2887,default,2.0,2.0,2.0,F,normal
19286,508f4205-a7b2-31ee-b4db-ab24622ca4b0,11.198272727272728,0.5454545454545454,5.5,7391,default,2.0,2.0,6.0,F,normal
22928,a0cb9e8f-5cce-390c-9d4d-05f76747f716,0.6401730769230769,0.4615384615384615,5.2,999,default,6.0,5.0,12.0,F,normal
