Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification
15506,e2fab2e3-49e5-3aa5-aa3c-3e5442cdc27e,0.0101785714285714,0.6071428571428571,28.0,18,default,5.0,1.0,17.0,E,outlier
9159,6e36b83c-5f5d-326c-afea-fc2999a7145b,2.5482,0.4,15.0,2294,default,1.0,1.0,6.0,E,outlier
5546,b601882f-af00-3369-9727-ce73a1371e48,3.487,1.0,5.0,1047,default,1.0,1.0,5.0,E,outlier
18284,29bab649-385d-3799-9d2b-39a8d6865264,0.2376666666666666,1.0,3.0,43,default,1.0,1.0,3.0,F,outlier
23193,c6fe28cb-e6db-3b4d-afc4-98681d3613f2,214.4777307692308,0.5769230769230769,26.0,334586,default,1.0,1.0,15.0,F,outlier
9639,bacd83f2-644d-34ba-aea1-49d3f4216b43,1.4101,0.5,10.0,847,default,1.0,1.0,5.0,E,outlier
24516,8c9c52ef-c01b-38cd-a37a-fe91d0b161a3,2.2648378378378378,0.4594594594594595,37.0,5028,default,2.0,1.0,17.0,F,outlier
29809,de338060-cad7-38e3-9433-e7e1dbdac22b,277.30857142857144,0.8571428571428571,7.0,116470,default,1.0,1.0,6.0,F,outlier
30433,6e379e9c-d344-3283-bf13-0bc2e5fa33c0,4.803180232558139,0.127906976744186,172.0,49569,default,1.0,1.0,22.0,F,outlier
8950,d04ec371-381d-37d6-bb55-911c7ef1d21f,2.18855,0.75,20.0,2627,default,1.0,1.0,15.0,E,outlier
11519,9a08f0a3-64da-32bc-bf3f-ee7fcca7eab3,0.16025,0.75,8.0,77,default,1.0,1.0,6.0,E,outlier
11875,64a3511b-6bbc-3f74-9a3f-a33de9bf5931,128.914,0.8,10.0,77349,default,1.0,1.0,8.0,E,outlier
14384,d4fb9ccf-b37f-373f-8672-3b234888b8d0,3.881624,0.2,125.0,29113,default,1.0,1.0,25.0,E,outlier
15369,1b4d9be2-0c1c-3b64-bfd6-8bfa67285cdb,5.600454545454545,0.4545454545454545,11.0,3697,private_ip,1.0,1.0,5.0,E,outlier
30029,8300b642-874c-35ca-845c-dfb7eae53089,7.9773125,0.5625,16.0,7659,default,1.0,1.0,9.0,F,outlier
7825,7ea58f7b-056d-32ad-8a06-5a342a90dd6c,0.0010243902439024,0.4878048780487805,41.0,3,default,19.0,1.0,20.0,E,outlier
22228,40ec99a7-5f2a-318c-b0e0-fd98f625ba02,0.7945,0.8333333333333334,6.0,287,default,2.0,1.0,5.0,F,outlier
1587,364da680-848c-3277-8671-6d47b7b3ed57,0.1306999999999999,0.9,10.0,79,default,1.0,1.0,9.0,E,outlier
7122,a98d1cc1-ff7c-347b-b8eb-ef6a945cac76,0.7388333333333333,0.6111111111111112,18.0,798,default,1.0,1.0,11.0,E,outlier
14180,85e7549b-aaac-3c74-9780-7254cc7c048b,0.176,1.0,7.0,74,default,1.0,1.0,7.0,E,outlier
7859,cc5e4966-5079-316d-bc15-2df6f7ba242b,0.7735,0.7,10.0,465,default,1.0,1.0,7.0,E,outlier
29461,756c86df-c8d1-349c-8d79-720d3c72549f,15.349555555555554,0.3111111111111111,45.0,41444,default,1.0,1.0,14.0,F,outlier
12477,fb025015-4f3e-3bff-be8f-7f80eeff523d,0.1376538461538461,0.7692307692307693,13.0,108,default,1.0,1.0,10.0,E,outlier
